Вектор Мощи,Скорость перехода через портал,Приток Силы Потока,Ритм магического ядра,Поток Энергий,Сила Левого Потока,Сила Правого Потока,Пламя Стихий,Приток давления Выдоха Истока,Давление выдоха Истока,Печать Чародея,Эмульсия Истока,Дыхание Истока,Гармония Бессмертия,Тип Вектора Мощи
9.3,13.88988,72767.44,372.845368045343,9766.15,645.087,645.087,1090.034,4.508,22.696,90.449,1.79,0.966,0.983,Сильный
1.138,,422.257,141.56204992634824,6666.25,7.638,7.638,455.815,1.101,5.929,5.491,0.076,0.966,0.984,Слабый
2.088,3.08664,2940.839,141.96302186870142,6801.938,24.323,24.323,512.607,1.2,6.482,14.599,0.148,0.966,0.984,Слабый
3.144,4.6299600000000005,8378.196,145.2203298516984,7098.238,60.349,60.349,591.219,1.39,7.515,12.508,0.248,0.966,0.984,Ниже среднего
4.161,6.17328,14722.556,162.04973697722383,7773.734,113.774,113.774,645.975,1.659,8.94,17.429,0.345,0.966,0.984,Ниже среднего
5.14,7.7166,21632.72,201.51473805088412,8487.45,175.269,175.269,714.026,2.081,11.118,25.48,0.504,0.966,0.984,Выше среднего
6.175,9.25992,29790.797,241.63716974718577,8820.257,246.253,246.253,781.863,2.505,13.263,34.69,0.687,0.966,0.984,Выше среднего
7.148,10.80324,38987.879,280.44714875257256,9129.024,332.25,332.25,834.477,2.969,15.577,44.572,0.882,0.966,0.984,Сильный
8.206,12.34656,50995.121,323.3273751999504,9312.203,438.066,438.066,931.915,3.58,18.494,60.935,1.206,0.966,0.984,Сильный
9.3,13.88988,72768.56,372.8455774848532,9766.966,644.996,644.996,1089.151,4.507,22.669,90.344,1.788,0.966,0.984,Сильный
1.138,1.54332,1162.75,144.85852309776,6690.457,9.446,9.446,474.664,1.134,6.102,0.0,0.094,0.966,0.985,Слабый
2.088,3.08664,2903.335,142.15172686742704,6805.554,24.646,24.646,509.954,1.199,6.469,13.611,0.144,0.966,0.985,Слабый
3.144,4.6299600000000005,8378.233,145.22043457145355,7100.795,60.349,60.349,590.412,1.389,7.508,12.475,0.247,0.966,0.985,Ниже среднего
4.161,6.17328,14722.519,162.04984169697894,7775.717,113.78,113.78,645.098,1.659,8.931,17.387,0.344,0.966,0.985,Ниже среднего
5.14,7.7166,21633.015,201.5148427706393,8488.36,175.264,175.264,713.058,2.081,11.107,25.424,0.503,0.966,0.985,Выше среднего
6.175,9.25992,29791.137,241.6355989508589,8821.285,246.209,246.209,780.761,2.504,13.249,34.618,0.685,0.966,0.985,Выше среднего
7.148,10.80324,38987.441,280.44735819208285,9129.53,332.272,332.272,833.45,2.968,15.56,44.49,0.881,0.966,0.985,Сильный
8.206,12.34656,50994.89,323.3266421616645,9312.615,438.005,438.005,930.863,3.579,18.474,60.837,1.204,0.966,0.985,Сильный
9.3,13.88988,72769.59,372.845368045343,9767.775,644.774,644.774,1088.269,4.505,22.642,90.239,1.786,0.966,0.985,Сильный
1.138,1.54332,1543.859,146.0030053014628,6700.711,10.093,10.093,485.386,1.151,6.187,0.0,0.106,0.966,0.986,Слабый
2.088,3.08664,2847.942,142.43248053090286,6809.818,25.127,25.127,506.322,1.198,6.453,12.082,0.139,0.966,0.986,Слабый
3.144,,8378.403,145.22043457145355,7103.361,60.351,60.351,589.607,1.389,7.501,12.441,0.246,0.966,0.986,Ниже среднего
4.161,6.17328,14722.64,162.04994641673406,7777.715,113.781,113.781,644.223,1.659,8.922,17.345,0.343,0.966,0.986,Ниже среднего
5.14,7.7166,21633.36,201.5148427706393,8489.272,175.261,175.261,712.093,2.08,11.095,25.368,0.502,0.966,0.986,Выше среднего
6.175,9.25992,29791.399,241.63350455575653,8822.31,246.24,246.24,779.663,2.504,13.236,34.546,0.684,0.966,0.986,Выше среднего
7.148,10.80324,38986.986,280.4475676315932,9130.036,332.265,332.265,832.427,2.968,15.543,44.41,0.879,0.966,0.986,Сильный
8.206,12.34656,50994.845,323.3261185628889,9313.028,437.968,437.968,929.814,3.578,18.453,60.74,1.202,0.966,0.986,Сильный
9.3,13.88988,72770.865,372.8456822046084,9768.587,644.965,644.965,1087.391,4.504,22.615,90.134,1.784,0.966,0.986,Сильный
1.138,1.54332,2394.139,147.64427802345318,6714.456,11.047,11.047,510.457,1.185,6.373,0.0,0.135,0.966,0.987,Слабый
2.088,3.08664,2828.838,142.63458965828377,6813.559,25.481,25.481,504.239,1.197,6.444,11.06,0.136,0.966,0.987,Слабый
3.144,4.6299600000000005,8378.451,145.22053929120867,7105.92,60.351,60.351,588.803,1.389,7.493,12.408,0.246,0.966,0.987,Ниже среднего
4.161,6.17328,14722.829,162.04994641673406,7779.721,113.766,113.766,643.351,1.658,8.914,17.303,0.343,0.966,0.987,Ниже среднего
5.14,7.7166,21633.421,201.51505221014952,8490.176,175.264,175.264,711.129,2.08,11.084,25.313,0.501,0.966,0.987,Выше среднего
6.175,9.25992,29791.712,241.63182903967467,8823.337,246.237,246.237,778.568,2.504,13.222,34.474,0.683,0.966,0.987,Выше среднего
7.148,,38986.596,280.4475676315932,9130.541,332.15,332.15,831.406,2.967,15.526,44.329,0.878,0.966,0.987,Сильный
8.206,12.34656,50994.736,323.32601384313386,9313.441,437.957,437.957,928.769,3.578,18.432,60.642,1.201,0.966,0.987,Сильный
9.3,13.88988,72772.083,372.8455774848532,9769.392,644.977,644.977,1086.516,4.503,22.588,90.028,1.782,0.966,0.987,Сильный
1.138,1.54332,2881.193,148.15164523700793,6720.556,11.352,11.352,524.455,1.204,6.47,0.0,0.152,0.966,0.988,Слабый
2.088,,2850.65,142.50871651262997,6815.348,25.257,25.257,504.712,1.198,6.442,11.571,0.137,0.966,0.988,Слабый
3.144,4.6299600000000005,8378.526,145.22053929120867,7108.482,60.345,60.345,588.001,1.389,7.486,12.374,0.245,0.966,0.988,Ниже среднего
4.161,6.17328,14722.857,162.0500511364892,7781.715,113.763,113.763,642.481,1.658,8.905,17.261,0.342,0.966,0.988,Ниже среднего
5.14,7.7166,21633.581,201.51526164965972,8491.083,175.287,175.287,710.167,2.08,11.073,25.257,0.5,0.966,0.988,Выше среднего
6.175,9.25992,29792.095,241.6307818421234,8824.368,246.203,246.203,777.477,2.503,13.208,34.402,0.681,0.966,0.988,Выше среднего
7.148,10.80324,38986.264,280.4475676315932,9131.048,332.181,332.181,830.389,2.966,15.509,44.249,0.876,0.966,0.988,Сильный
8.206,12.34656,50994.673,323.3259091233787,9313.854,438.11,438.11,927.728,3.577,18.412,60.546,1.199,0.966,0.988,Сильный
9.3,13.88988,72772.672,372.8458916441186,9770.184,645.099,645.099,1085.64,4.502,22.561,89.922,1.78,0.966,0.988,Сильный
1.138,1.54332,3513.187,148.40485760488727,6725.132,11.511,11.511,542.755,1.227,6.597,0.0,0.174,0.966,0.989,Слабый
2.088,3.08664,2850.548,142.95984921768544,6820.575,26.039,26.039,502.179,1.199,6.438,9.262,0.133,0.966,0.989,Слабый
3.144,4.6299600000000005,8378.705,145.2206440109638,7111.051,60.351,60.351,587.202,1.389,7.479,12.341,0.244,0.966,0.989,Ниже среднего
4.161,6.17328,14722.867,162.0501558562443,7783.709,113.775,113.775,641.612,1.658,8.896,17.219,0.341,0.966,0.989,Ниже среднего
5.14,7.7166,21633.784,201.51547108917,8491.991,175.296,175.296,709.208,2.08,11.061,25.202,0.499,0.966,0.989,Выше среднего
6.175,9.25992,29792.356,241.6290016062864,8825.393,246.221,246.221,776.389,2.503,13.195,34.33,0.68,0.966,0.989,Выше среднего
7.148,10.80324,38985.792,280.44777707110336,9131.552,332.136,332.136,829.373,2.966,15.492,44.168,0.875,0.966,0.989,Сильный
8.206,12.34656,50994.647,323.32549024435826,9314.266,438.088,438.088,926.689,3.576,18.391,60.449,1.197,0.966,0.989,Сильный
9.3,,72773.113,372.84651996264927,9770.971,645.044,645.044,1084.765,4.501,22.534,89.816,1.778,0.966,0.989,Сильный
1.138,,4603.398,148.00367622302386,6725.873,11.29,11.29,574.283,1.263,6.786,0.0,0.211,0.966,0.99,Слабый
2.088,3.08664,2842.467,142.96487576593117,6823.15,26.048,26.048,501.171,1.198,6.43,9.153,0.132,0.966,0.99,Слабый
3.144,4.6299600000000005,8378.748,145.2206440109638,7113.611,60.356,60.356,586.403,1.389,7.472,12.307,0.244,0.966,0.99,Ниже среднего
4.161,6.17328,14722.975,162.0501558562443,7785.713,113.782,113.782,640.746,1.658,8.887,17.177,0.34,0.966,0.99,Ниже среднего
5.14,7.7166,21633.923,201.51557580892512,8492.898,175.272,175.272,708.252,2.079,11.05,25.147,0.498,0.966,0.99,Выше среднего
6.175,9.25992,29792.672,241.6274308099596,8826.42,246.265,246.265,775.304,2.503,13.181,34.259,0.678,0.966,0.99,Выше среднего
7.148,10.80324,38985.403,280.44798651061353,9132.057,332.217,332.217,828.361,2.965,15.475,44.088,0.873,0.966,0.99,Сильный
8.206,12.34656,50994.542,323.3255949641134,9314.677,437.987,437.987,925.654,3.575,18.371,60.353,1.195,0.966,0.99,Сильный
9.3,13.88988,72774.634,372.8457869243635,9771.766,644.838,644.838,1083.898,4.499,22.507,89.711,1.776,0.966,0.99,Сильный
1.138,1.54332,5360.474,147.26372643334835,6724.278,10.869,10.869,594.805,1.286,6.915,0.0,0.237,0.966,0.991,Слабый
2.088,3.08664,2850.603,142.96885511662575,6825.684,26.053,26.053,500.709,1.198,6.426,9.159,0.131,0.966,0.991,Слабый
3.144,,8378.89,145.2207487307189,7116.179,60.351,60.351,585.607,1.389,7.465,12.274,0.243,0.966,0.991,Ниже среднего
4.161,6.17328,14723.124,162.0502605759994,7787.723,113.773,113.773,639.883,1.657,8.878,17.135,0.339,0.966,0.991,Ниже среднего
5.14,7.7166,21634.142,201.51568052868024,8493.807,175.273,175.273,707.298,2.079,11.039,25.092,0.497,0.966,0.991,Выше среднего
6.175,9.25992,29792.979,241.625964733388,8827.447,246.283,246.283,774.222,2.502,13.168,34.188,0.677,0.966,0.991,Выше среднего
7.148,10.80324,38984.989,280.44798651061353,9132.561,332.11,332.11,827.351,2.965,15.459,44.008,0.871,0.966,0.991,Сильный
8.206,12.34656,50994.538,323.3250713653378,9315.088,438.102,438.102,924.622,3.574,18.35,60.256,1.193,0.966,0.991,Сильный
9.3,13.88988,72775.839,372.84599636387367,9772.564,644.94,644.94,1083.037,4.498,22.48,89.607,1.774,0.966,0.991,Сильный
1.138,1.54332,6845.966,144.9894227916596,6713.911,9.582,9.582,637.127,1.325,7.143,0.0,0.29,0.966,0.992,Слабый
2.088,3.08664,2932.869,143.54879312047842,6831.816,27.075,27.075,500.123,1.202,6.438,6.06,0.129,0.966,0.992,Слабый
3.144,4.6299600000000005,8378.94,145.220853450474,7118.742,60.353,60.353,584.811,1.389,7.457,12.24,0.242,0.966,0.992,Ниже среднего
4.161,6.17328,14723.197,162.0502605759994,7789.727,113.786,113.786,639.021,1.657,8.869,17.093,0.338,0.966,0.992,Ниже среднего
5.14,,21634.131,201.5159946879456,8494.711,175.299,175.299,706.345,2.079,11.028,25.036,0.496,0.966,0.992,Выше среднего
6.175,9.25992,29793.36,241.62502225559183,8828.478,246.297,246.297,773.144,2.502,13.154,34.116,0.675,0.966,0.992,Выше среднего
7.148,10.80324,38984.647,280.44798651061353,9133.066,332.24,332.24,826.345,2.964,15.442,43.928,0.87,0.966,0.992,Сильный
8.206,12.34656,50994.429,323.32517608509283,9315.497,438.099,438.099,923.593,3.573,18.33,60.161,1.191,0.966,0.992,Сильный
9.3,13.88988,72775.749,372.8467294021595,9773.348,644.81,644.81,1082.174,4.497,22.454,89.502,1.772,0.966,0.992,Сильный
1.138,1.54332,7306.094,142.82224745945825,6703.555,8.378,8.378,654.516,1.331,7.186,10.366,0.318,0.966,0.993,Слабый
2.088,3.08664,2927.327,143.52753501018913,6834.155,27.039,27.039,499.381,1.202,6.431,6.108,0.128,0.966,0.993,Слабый
3.144,4.6299600000000005,8378.819,145.22095817022915,7121.293,60.35,60.35,584.016,1.389,7.45,12.207,0.242,0.966,0.993,Ниже среднего
4.161,6.17328,14723.238,162.05036529575457,7791.731,113.786,113.786,638.161,1.657,8.86,17.052,0.338,0.966,0.993,Ниже среднего
5.14,7.7166,21634.547,201.51609940770075,8495.626,175.272,175.272,705.397,2.078,11.017,24.982,0.494,0.966,0.993,Выше среднего
6.175,9.25992,29793.625,241.62366089877528,8829.503,246.271,246.271,772.069,2.502,13.141,34.045,0.674,0.966,0.993,Выше среднего
7.148,10.80324,38984.243,280.4480912303687,9133.569,332.19,332.19,825.34,2.963,15.425,43.849,0.868,0.966,0.993,Сильный
8.206,,50994.371,323.3249666455826,9315.906,438.093,438.093,922.568,3.573,18.309,60.065,1.189,0.966,0.993,Сильный
9.3,13.88988,72775.709,372.84704356142487,9774.128,644.818,644.818,1081.313,4.496,22.427,89.398,1.77,0.966,0.993,Сильный
1.138,1.54332,7222.206,141.5464466828354,6698.342,7.683,7.683,654.679,1.325,7.153,16.847,0.322,0.966,0.994,Слабый
2.088,3.08664,3010.527,143.79771197839784,6838.388,27.511,27.511,500.088,1.206,6.444,4.903,0.128,0.966,0.994,Слабый
3.144,4.6299600000000005,8379.269,145.220853450474,7123.884,60.359,60.359,583.227,1.388,7.443,12.174,0.241,0.966,0.994,Ниже среднего
4.161,6.17328,14723.291,162.0504700155097,7793.738,113.779,113.779,637.303,1.657,8.851,17.01,0.337,0.966,0.994,Ниже среднего
5.14,7.7166,21634.668,201.5163088472109,8496.533,175.278,175.278,704.45,2.078,11.005,24.927,0.493,0.966,0.994,Выше среднего
6.175,9.25992,29793.981,241.62240426171385,8830.531,246.249,246.249,770.997,2.501,13.127,33.975,0.673,0.966,0.994,Выше среднего
7.148,10.80324,38983.902,280.4480912303687,9134.073,332.114,332.114,824.339,2.963,15.408,43.77,0.867,0.966,0.994,Сильный
8.206,12.34656,50994.318,323.3246524863173,9316.315,437.959,437.959,921.545,3.572,18.289,59.97,1.187,0.966,0.994,Сильный
9.3,,72777.803,372.84599636387367,9774.932,644.91,644.91,1080.467,4.495,22.401,89.296,1.768,0.966,0.994,Сильный
1.138,1.54332,6316.055,139.21161502268748,6686.116,6.434,6.434,635.996,1.294,6.976,26.566,0.306,0.966,0.995,Слабый
2.088,3.08664,3106.565,144.07186829730114,6842.648,27.998,27.998,501.184,1.209,6.458,3.506,0.129,0.966,0.995,Слабый
3.144,4.6299600000000005,8379.31,145.22095817022915,7126.448,60.362,60.362,582.436,1.388,7.436,12.141,0.24,0.966,0.995,Ниже среднего
4.161,6.17328,14723.377,162.0505747352648,7795.749,113.785,113.785,636.448,1.657,8.842,16.969,0.336,0.966,0.995,Ниже среднего
5.14,7.7166,21634.676,201.5165182867212,8497.438,175.324,175.324,703.505,2.078,10.994,24.872,0.492,0.966,0.995,Выше среднего
6.175,9.25992,29794.283,241.6212523444076,8831.557,246.318,246.318,769.929,2.501,13.114,33.904,0.671,0.966,0.995,Выше среднего
7.148,10.80324,38983.505,280.44840538963405,9134.576,332.185,332.185,823.34,2.962,15.392,43.69,0.865,0.966,0.995,Сильный
8.206,12.34656,50994.238,323.3246524863173,9316.722,438.103,438.103,920.526,3.571,18.269,59.874,1.185,0.966,0.995,Сильный
9.3,13.88988,72778.31,372.8463105231391,9775.712,644.803,644.803,1079.614,4.493,22.374,89.193,1.766,0.966,0.995,Сильный
1.138,1.54332,3957.842,137.3055060399994,6674.933,5.432,5.432,577.083,1.22,6.562,32.097,0.239,0.966,0.996,Слабый
2.088,3.08664,3187.069,144.2416190203501,6846.208,28.299,28.299,502.401,1.213,6.47,2.845,0.13,0.966,0.996,Слабый
3.144,4.6299600000000005,8379.411,145.22106288998427,7129.017,60.356,60.356,581.648,1.388,7.429,12.108,0.24,0.966,0.996,Ниже среднего
4.161,6.17328,14723.532,162.0505747352648,7797.767,113.795,113.795,635.595,1.656,8.834,16.927,0.335,0.966,0.996,Ниже среднего
5.14,7.7166,21634.937,201.51662300647635,8498.349,175.328,175.328,702.563,2.078,10.983,24.817,0.491,0.966,0.996,Выше среднего
6.175,,29794.603,241.61999570734608,8832.583,246.286,246.286,768.864,2.5,13.101,33.834,0.67,0.966,0.996,Выше среднего
7.148,10.80324,38983.193,280.4481959501238,9135.079,332.145,332.145,822.344,2.962,15.375,43.611,0.863,0.966,0.996,Сильный
8.206,12.34656,50994.165,323.32444304680706,9317.129,437.953,437.953,919.51,3.57,18.248,59.779,1.183,0.966,0.996,Сильный
9.3,,72778.972,372.8466246824044,9776.49,645.097,645.097,1078.765,4.492,22.348,89.09,1.764,0.966,0.996,Сильный
1.138,,2443.795,137.2416269893764,6675.36,5.385,5.385,533.174,1.171,6.285,30.455,0.187,0.966,0.997,Слабый
2.088,3.08664,3192.846,144.25512786876052,6848.841,28.325,28.325,501.968,1.213,6.466,2.996,0.129,0.966,0.997,Слабый
3.144,4.6299600000000005,8379.47,145.22116760973938,7131.583,60.364,60.364,580.86,1.388,7.422,12.075,0.239,0.966,0.997,Ниже среднего
4.161,6.17328,14723.563,162.0506794550199,7799.777,113.788,113.788,634.743,1.656,8.825,16.886,0.334,0.966,0.997,Ниже среднего
5.14,7.7166,21635.085,201.5169371657417,8499.257,175.302,175.302,701.623,2.077,10.972,24.763,0.49,0.966,0.997,Выше среднего
6.175,9.25992,29794.933,241.6191579493052,8833.611,246.244,246.244,767.802,2.5,13.087,33.763,0.668,0.966,0.997,Выше среднего
7.148,10.80324,38982.882,280.44840538963405,9135.582,332.213,332.213,821.351,2.961,15.359,43.533,0.862,0.966,0.997,Сильный
8.206,12.34656,50994.131,323.3241288875417,9317.535,438.036,438.036,918.497,3.569,18.228,59.685,1.182,0.966,0.997,Сильный
9.3,13.88988,72779.006,372.84714828118,9777.256,645.085,645.085,1077.915,4.491,22.321,88.987,1.762,0.966,0.997,Сильный
1.138,1.54332,1580.819,137.6158953941741,6679.033,5.565,5.565,504.38,1.142,6.103,27.24,0.152,0.966,0.998,Слабый
2.088,3.08664,3336.615,144.5394420039104,6853.126,28.831,28.831,504.692,1.218,6.484,1.298,0.132,0.966,0.998,Слабый
3.144,4.6299600000000005,8379.606,145.22116760973938,7134.156,60.358,60.358,580.075,1.388,7.415,12.042,0.238,0.966,0.998,Ниже среднего
4.161,6.17328,14723.667,162.0506794550199,7801.795,113.789,113.789,633.894,1.656,8.816,16.845,0.333,0.966,0.998,Ниже среднего
5.14,7.7166,21635.262,201.51714660525192,8500.166,175.323,175.323,700.686,2.077,10.961,24.708,0.489,0.966,0.998,Выше среднего
6.175,9.25992,29795.213,241.6179013122437,8834.634,246.28,246.28,766.743,2.5,13.074,33.693,0.667,0.966,0.998,Выше среднего
7.148,10.80324,38982.572,280.4483006698789,9136.085,332.196,332.196,820.36,2.96,15.342,43.454,0.86,0.966,0.998,Сильный
8.206,,50994.049,323.32402416778655,9317.94,438.087,438.087,917.487,3.569,18.208,59.59,1.18,0.966,0.998,Сильный
9.3,13.88988,72779.96,372.8468341219147,9778.029,644.817,644.817,1077.072,4.49,22.295,88.885,1.76,0.966,0.998,Сильный
1.138,1.54332,590.485,139.01023893359238,6688.588,6.271,6.271,464.537,1.106,5.889,18.199,0.1,0.966,0.999,Слабый
2.088,3.08664,3504.767,144.80930481285378,6857.295,29.32,29.32,508.387,1.224,6.511,0.0,0.136,0.966,0.999,Слабый
3.144,4.6299600000000005,8379.686,145.22127232949452,7136.725,60.368,60.368,579.292,1.388,7.408,12.008,0.238,0.966,0.999,Ниже среднего
4.161,6.17328,14723.768,162.050784174775,7803.813,113.796,113.796,633.047,1.656,8.807,16.803,0.333,0.966,0.999,Ниже среднего
5.14,7.7166,21635.508,201.51725132500704,8501.077,175.294,175.294,699.751,2.077,10.95,24.654,0.488,0.966,0.999,Выше среднего
6.175,9.25992,29795.49,241.61685411469253,8835.658,246.274,246.274,765.688,2.499,13.061,33.623,0.666,0.966,0.999,Выше среднего
7.148,10.80324,38982.211,280.44840538963405,9136.587,332.082,332.082,819.372,2.96,15.326,43.375,0.859,0.966,0.999,Сильный
8.206,12.34656,50993.963,323.32402416778655,9318.344,438.037,438.037,916.481,3.568,18.188,59.496,1.178,0.966,0.999,Сильный
9.3,,72780.155,372.8474624404453,9778.789,645.025,645.025,1076.227,4.489,22.269,88.782,1.757,0.966,0.999,Сильный
1.138,1.54332,386.725,141.08389952447186,6703.473,7.356,7.356,446.176,1.099,5.835,6.153,0.07,0.966,1.0,Слабый
2.088,3.08664,3672.824,145.05665287444643,6861.332,29.764,29.764,512.414,1.231,6.542,0.0,0.142,0.966,1.0,Слабый
3.144,4.6299600000000005,8379.843,145.22127232949452,7139.3,60.363,60.363,578.51,1.388,7.401,11.976,0.237,0.966,1.0,Ниже среднего
4.161,6.17328,14723.75,162.05088889453015,7805.824,113.794,113.794,632.201,1.656,8.799,16.762,0.332,0.966,1.0,Ниже среднего
5.14,7.7166,21635.452,201.5175654842724,8501.98,175.282,175.282,698.817,2.077,10.939,24.6,0.487,0.966,1.0,Выше среднего
6.175,9.25992,29795.806,241.61622579616176,8836.684,246.306,246.306,764.635,2.499,13.047,33.553,0.664,0.966,1.0,Выше среднего
7.148,10.80324,38981.872,280.4486148291443,9137.089,332.101,332.101,818.386,2.959,15.309,43.297,0.857,0.966,1.0,Сильный
8.206,,50993.87,323.32391944803146,9318.748,437.971,437.971,915.477,3.567,18.167,59.402,1.176,0.966,1.0,Сильный
9.3,13.88988,72780.745,372.84735772069024,9779.549,644.843,644.843,1075.386,4.487,22.242,88.68,1.755,0.966,1.0,Сильный
1.138,1.54332,1479.742,139.10270647736303,6628.47,6.368,6.368,511.846,1.141,6.219,23.111,0.151,0.967,0.975,Слабый
2.088,3.08664,3692.417,140.9301709239562,6770.833,22.566,22.566,545.587,1.224,6.681,21.526,0.189,0.967,0.975,Слабый
3.144,4.6299600000000005,8377.134,145.21970153316772,7072.966,60.33,60.33,598.097,1.391,7.582,12.796,0.253,0.967,0.975,Ниже среднего
4.161,,14721.595,162.0491086586931,7753.613,113.773,113.773,653.502,1.661,9.023,17.795,0.352,0.967,0.975,Ниже среднего
5.14,,21630.974,201.5131672545573,8478.357,175.248,175.248,722.327,2.084,11.223,25.963,0.514,0.967,0.975,Выше среднего
6.175,9.25992,29763.379,241.5795738818699,8809.107,245.932,245.932,791.245,2.507,13.384,35.297,0.699,0.967,0.975,Выше среднего
7.148,,38992.73,280.44578739575604,9123.967,332.268,332.268,843.161,2.975,15.735,45.273,0.896,0.967,0.975,Сильный
8.206,12.34656,50993.356,323.31459938982584,9308.124,438.091,438.091,940.729,3.588,18.689,61.78,1.223,0.967,0.975,Сильный
9.3,13.88988,72760.085,372.8424358921996,9758.301,644.753,644.753,1096.067,4.519,22.922,91.222,1.806,0.967,0.975,Сильный
1.138,1.54332,651.129,141.03845115074995,6641.606,7.373,7.373,472.445,1.111,6.029,10.674,0.097,0.967,0.976,Слабый
2.088,3.08664,3578.128,141.00933905882667,6773.82,22.698,22.698,541.007,1.221,6.652,20.935,0.184,0.967,0.976,Слабый
3.144,4.6299600000000005,8377.267,145.21980625292284,7075.521,60.331,60.331,597.276,1.391,7.575,12.762,0.253,0.967,0.976,Ниже среднего
4.161,,14721.667,162.04921337844823,7755.586,113.771,113.771,652.606,1.661,9.014,17.752,0.351,0.967,0.976,Ниже среднего
5.14,7.7166,21631.215,201.5132719743125,8479.262,175.285,175.285,721.337,2.084,11.211,25.906,0.513,0.967,0.976,Выше среднего
6.175,9.25992,29764.888,241.5855429079118,8810.194,245.955,245.955,790.119,2.507,13.37,35.224,0.697,0.967,0.976,Выше среднего
7.148,10.80324,38992.208,280.4461015550214,9124.476,332.299,332.299,842.11,2.974,15.718,45.191,0.895,0.967,0.976,Сильный
8.206,,50994.114,323.3180551417448,9308.51,438.105,438.105,939.676,3.588,18.668,61.682,1.221,0.967,0.976,Сильный
9.3,13.88988,72761.558,372.8420170131792,9759.16,644.988,644.988,1095.164,4.518,22.895,91.115,1.804,0.967,0.976,Сильный
1.138,1.54332,1080.147,144.2769095778254,6664.995,9.134,9.134,477.705,1.131,6.124,1.043,0.096,0.967,0.977,Слабый
2.088,3.08664,3307.32,141.2486236992751,6777.75,23.099,23.099,531.242,1.212,6.592,19.536,0.171,0.967,0.977,Слабый
3.144,4.6299600000000005,8377.336,145.21980625292284,7078.072,60.337,60.337,596.456,1.391,7.567,12.728,0.252,0.967,0.977,Ниже среднего
4.161,6.17328,14721.817,162.04921337844823,7757.568,113.749,113.749,651.712,1.661,9.005,17.709,0.351,0.967,0.977,Ниже среднего
5.14,7.7166,21631.396,201.5133766940676,8480.165,175.256,175.256,720.348,2.083,11.2,25.85,0.512,0.967,0.977,Выше среднего
6.175,9.25992,29767.014,241.5930827302804,8811.305,245.984,245.984,788.999,2.507,13.357,35.152,0.696,0.967,0.977,Выше среднего
7.148,10.80324,38991.748,280.44631099453164,9124.985,332.219,332.219,841.062,2.974,15.701,45.108,0.893,0.967,0.977,Сильный
8.206,12.34656,50994.782,323.32077785537786,9308.893,438.008,438.008,938.625,3.587,18.646,61.585,1.219,0.967,0.977,Сильный
9.3,13.88988,72762.378,372.8428547712201,9760.008,644.855,644.855,1094.261,4.516,22.867,91.008,1.802,0.967,0.977,Сильный
1.138,1.54332,2284.185,147.32498749009335,6688.068,10.871,10.871,512.881,1.182,6.401,0.0,0.136,0.967,0.978,Слабый
2.088,3.08664,3226.646,141.33417973920783,6780.801,23.242,23.242,527.76,1.209,6.573,18.57,0.167,0.967,0.978,Слабый
3.144,4.6299600000000005,8377.447,145.21991097267795,7080.627,60.332,60.332,595.638,1.39,7.56,12.694,0.251,0.967,0.978,Ниже среднего
4.161,6.17328,14721.832,162.04931809820337,7759.541,113.758,113.758,650.82,1.66,8.996,17.666,0.35,0.967,0.978,Ниже среднего
5.14,7.7166,21631.395,201.51358613357783,8481.064,175.242,175.242,719.361,2.083,11.188,25.793,0.511,0.967,0.978,Выше среднего
6.175,9.25992,29770.137,241.60334526628205,8812.454,246.031,246.031,787.885,2.506,13.343,35.081,0.695,0.967,0.978,Выше среднего
7.148,10.80324,38991.255,280.44631099453164,9125.493,332.312,332.312,840.016,2.973,15.683,45.026,0.891,0.967,0.978,Сильный
8.206,12.34656,50995.218,323.323500569011,9309.273,438.109,438.109,937.577,3.586,18.625,61.487,1.217,0.967,0.978,Сильный
9.3,13.88988,72762.902,372.84337836999566,9760.846,644.736,644.736,1093.358,4.515,22.839,90.901,1.799,0.967,0.978,Сильный
1.138,1.54332,4320.991,148.0372912644173,6696.728,11.311,11.311,574.243,1.255,6.812,0.0,0.207,0.967,0.979,Слабый
2.088,3.08664,3179.713,141.421830174243,6783.796,23.391,23.391,525.28,1.208,6.558,17.977,0.164,0.967,0.979,Слабый
3.144,,8377.536,145.21991097267795,7083.181,60.328,60.328,594.822,1.39,7.552,12.661,0.251,0.967,0.979,Ниже среднего
4.161,6.17328,14721.883,162.0494228179585,7761.518,113.757,113.757,649.931,1.66,8.987,17.623,0.349,0.967,0.979,Ниже среднего
5.14,7.7166,21631.664,201.5137955730881,8481.971,175.245,175.245,718.379,2.083,11.177,25.736,0.509,0.967,0.979,Выше среднего
6.175,9.25992,29775.055,241.6173777134681,8813.668,246.032,246.032,786.783,2.506,13.331,35.011,0.693,0.967,0.979,Выше среднего
7.148,10.80324,38990.736,280.446625153797,9126.001,332.246,332.246,838.974,2.972,15.666,44.944,0.89,0.967,0.979,Сильный
8.206,12.34656,50995.599,323.32549024435826,9309.651,438.002,438.002,936.531,3.585,18.604,61.389,1.215,0.967,0.979,Сильный
9.3,13.88988,72764.259,372.8434830897508,9761.691,645.071,645.071,1092.463,4.514,22.812,90.795,1.797,0.967,0.979,Сильный
1.138,1.54332,7001.555,144.280051170479,6677.669,9.191,9.191,654.218,1.328,7.243,3.315,0.308,0.967,0.98,Слабый
